x,p1_l4,p2_l2,p3_l1,p3_l2,p4_l1,p4_l2,p5_l1,DNS
29.2192,12.6442,12.7282,12.9418,15.2535,14.6799,15.962,15.5657,16.1606
29.305,12.633,12.7061,12.9206,15.2213,14.6561,15.8938,15.4832,16.0837
29.3492,12.6259,12.6929,12.9094,15.204,14.6472,15.8571,15.4409,16.0413
29.3555,12.6248,12.691,12.9078,15.2015,14.6461,15.8518,15.4349,16.0352
29.4536,12.6046,12.6615,12.8825,15.1608,14.6318,15.768,15.3429,15.9362
29.4591,12.6033,12.6599,12.8811,15.1584,14.6311,15.7632,15.3378,15.9305
29.5435,12.5801,12.6368,12.8591,15.1201,14.6221,15.6903,15.2613,15.8436
29.5454,12.5796,12.6364,12.8586,15.1192,14.622,15.6887,15.2597,15.8417
29.7657,12.4936,12.5852,12.7995,15.0027,14.6042,15.5019,15.0698,15.635
29.9328,12.4039,12.5477,12.7529,14.9,14.5898,15.3687,14.9338,15.5122
29.9861,12.371,12.5351,12.7377,14.8652,14.5839,15.3286,14.8922,15.4779
30.0721,12.3141,12.5132,12.7126,14.8076,14.5719,15.2668,14.827,15.4259
30.0725,12.3138,12.5131,12.7125,14.8073,14.5718,15.2665,14.8267,15.4256
30.1056,12.2907,12.5039,12.7028,14.7849,14.5662,15.2438,14.8026,15.4065
30.1498,12.2589,12.4907,12.6896,14.7551,14.5578,15.2146,14.7712,15.3816
30.3065,12.1401,12.4317,12.6423,14.6541,14.5181,15.1207,14.6669,15.2974
30.3302,12.1217,12.421,12.6351,14.6404,14.5105,15.1077,14.6512,15.285
30.4138,12.0565,12.3799,12.6094,14.5981,14.4794,15.0638,14.5905,15.2415
30.4151,12.0555,12.3792,12.609,14.5975,14.4789,15.0632,14.5895,15.2409
30.4307,12.0433,12.3712,12.6042,14.5907,14.4723,15.0553,14.5768,15.2327
30.4893,11.9977,12.3405,12.5861,14.5681,14.4446,15.0266,14.5262,15.2022
30.4933,11.9945,12.3384,12.5848,14.5667,14.4425,15.0247,14.5226,15.2001
30.6288,11.8911,12.2685,12.5416,14.5257,14.3606,14.9624,14.4033,15.129
30.7213,11.8237,12.2231,12.5062,14.5021,14.3015,14.9215,14.3255,15.08
30.7743,11.7869,12.1983,12.4818,14.4884,14.268,14.8981,14.2824,15.0517
30.8751,11.7214,12.1535,12.4292,14.4605,14.2051,14.8515,14.2029,14.9972
30.8848,11.7154,12.1493,12.4238,14.4576,14.199,14.8467,14.1954,14.9919
30.9216,11.6934,12.1338,12.4028,14.4465,14.1762,14.8278,14.1671,14.9718
31.0318,11.6334,12.0901,12.3358,14.4104,14.1084,14.7634,14.084,14.9107
31.0988,11.6004,12.0652,12.2922,14.3864,14.0674,14.7196,14.0343,14.873
31.1269,11.5871,12.0551,12.2732,14.3758,14.0502,14.7007,14.0135,14.8569
31.2767,11.5218,12.0036,12.1679,14.3151,13.9599,14.6011,13.904,14.7701
31.3887,11.4763,11.9667,12.0874,14.265,13.8939,14.5293,13.8229,14.7032
31.4915,11.4358,11.9335,12.0147,14.2161,13.8332,14.4657,13.7491,14.6406
31.5712,11.4044,11.9078,11.9599,14.1765,13.7833,14.4176,13.692,14.5912
